"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"10.12.2024","40,19","40,30","40,43","40,11","21,84M","0,37%"
"09.12.2024","40,04","39,38","40,17","39,36","28,55M","2,59%"
"06.12.2024","39,03","39,64","39,70","38,96","31,00M","-1,54%"
"05.12.2024","39,64","39,39","39,81","39,21","25,21M","0,99%"
"04.12.2024","39,25","39,50","39,86","38,98","31,58M","-0,63%"
"03.12.2024","39,50","39,40","39,50","39,08","22,54M","0,89%"
"02.12.2024","39,15","38,90","39,40","38,77","31,71M","0,64%"
"29.11.2024","38,90","38,50","39,22","38,41","43,99M","0,80%"
"28.11.2024","38,59","38,81","39,30","38,38","33,11M","-1,03%"
"27.11.2024","38,99","39,20","39,36","38,75","30,60M","-0,36%"
"26.11.2024","39,13","39,36","39,51","39,06","35,19M","-0,13%"
"25.11.2024","39,18","39,38","39,86","39,15","41,12M","-0,61%"
"22.11.2024","39,42","38,71","39,83","38,47","85,20M","3,98%"
"21.11.2024","37,91","37,97","38,13","37,55","36,05M","0,29%"
"19.11.2024","37,80","38,10","38,30","37,65","26,00M","-1,05%"
"18.11.2024","38,20","37,20","38,30","37,20","39,00M","2,50%"
"14.11.2024","37,27","36,92","37,33","36,86","30,06M","1,06%"
"13.11.2024","36,88","36,95","37,07","36,53","34,09M","-0,14%"
"12.11.2024","36,93","36,36","37,11","36,34","39,41M","1,88%"
"11.11.2024","36,25","35,99","36,42","35,90","21,45M","0,19%"